epoch,train_loss,mse_loss,lr
94,0.0009935720513264338,0.0009935720513264338,0.01
95,0.000983069612023731,0.000983069612023731,0.01
96,0.0009762140456587076,0.0009762140456587076,0.01
97,0.0009542166798685987,0.0009542166798685987,0.01
98,0.000942318180265526,0.000942318180265526,0.01
99,0.0009521367261186242,0.0009521367261186242,0.01
100,0.0009396259944575528,0.0009396259944575528,0.01
101,0.0009407920956922074,0.0009407920956922074,0.01
102,0.0009414149021419386,0.0009414149021419386,0.01
103,0.0009371654829010368,0.0009371654829010368,0.01
104,0.0009099859278649091,0.0009099859278649091,0.01
105,0.0009232917761740585,0.0009232917761740585,0.01
106,0.0009204346958237389,0.0009204346958237389,0.01
107,0.0009172296772400538,0.0009172296772400538,0.01
108,0.0008922189241275192,0.0008922189241275192,0.01
109,0.0008925362839363515,0.0008925362839363515,0.01
110,0.0008927220090602835,0.0008927220090602835,0.01
111,0.0008862338222873707,0.0008862338222873707,0.01
112,0.0008946091635152698,0.0008946091635152698,0.01
113,0.0009035427356138825,0.0009035427356138825,0.01
114,0.0009081051025229196,0.0009081051025229196,0.01
115,0.0008946619151781002,0.0008946619151781002,0.01
116,0.0008862408925779164,0.0008862408925779164,0.01
117,0.0008695376144411663,0.0008695376144411663,0.01
118,0.0008769944581824044,0.0008769944581824044,0.01
119,0.0008758850512094795,0.0008758850512094795,0.01
120,0.0008876225678250193,0.0008876225678250193,0.01
121,0.0008699902798980474,0.0008699902798980474,0.01
122,0.0008792459460285803,0.0008792459460285803,0.01
123,0.0008664335201804837,0.0008664335201804837,0.01
124,0.0008697897816697756,0.0008697897816697756,0.01
125,0.0008541708579286933,0.0008541708579286933,0.01
126,0.000857745949178934,0.000857745949178934,0.01
127,0.000854189977205048,0.000854189977205048,0.01
128,0.0008472988847643137,0.0008472988847643137,0.01
129,0.0008267411030828953,0.0008267411030828953,0.01
130,0.0008447971272592743,0.0008447971272592743,0.01
131,0.0008692940774684151,0.0008692940774684151,0.01
132,0.0008386194705963135,0.0008386194705963135,0.01
133,0.000847502452476571,0.000847502452476571,0.01
134,0.0008244695840403437,0.0008244695840403437,0.01
135,0.0008321166931030651,0.0008321166931030651,0.01
136,0.0008200383628718555,0.0008200383628718555,0.01
137,0.0008344563694360356,0.0008344563694360356,0.01
138,0.0008415849956994255,0.0008415849956994255,0.01
139,0.000850650027859956,0.000850650027859956,0.01
140,0.0008564588613808155,0.0008564588613808155,0.01
141,0.0008535897398057083,0.0008535897398057083,0.01
142,0.0008768530290884277,0.0008768530290884277,0.01
143,0.000833546669067194,0.000833546669067194,0.01
144,0.000830081927900513,0.000830081927900513,0.01
145,0.0008132083729530374,0.0008132083729530374,0.01
146,0.0008308154220382373,0.0008308154220382373,0.01
147,0.0008294117365342875,0.0008294117365342875,0.01
148,0.0008266482191781203,0.0008266482191781203,0.01
149,0.0008170300590184828,0.0008170300590184828,0.01
150,0.0008022915067461629,0.0008022915067461629,0.01
151,0.0008472207079951962,0.0008472207079951962,0.01
152,0.0008283074324329694,0.0008283074324329694,0.01
153,0.0008250656731737157,0.0008250656731737157,0.01
154,0.0008174947695806622,0.0008174947695806622,0.01
155,0.0007943029205004375,0.0007943029205004375,0.01
156,0.0008102246443741024,0.0008102246443741024,0.01
157,0.0008213411939019959,0.0008213411939019959,0.01
158,0.0008221033029258251,0.0008221033029258251,0.01
159,0.0008257218869403005,0.0008257218869403005,0.01
160,0.0008304450699749092,0.0008304450699749092,0.01
161,0.0008023393573239445,0.0008023393573239445,0.01
162,0.0007834372188275059,0.0007834372188275059,0.01
163,0.0008042300934903324,0.0008042300934903324,0.01
164,0.0008427695798066755,0.0008427695798066755,0.01
165,0.0008421807860334714,0.0008421807860334714,0.01
166,0.0008177334869590899,0.0008177334869590899,0.01
167,0.0008246076487315198,0.0008246076487315198,0.01
168,0.000813390143836538,0.000813390143836538,0.01
169,0.0008067470703584452,0.0008067470703584452,0.01
170,0.0008149130502715707,0.0008149130502715707,0.01
171,0.0007981624066208799,0.0007981624066208799,0.01
172,0.0007928514077017705,0.0007928514077017705,0.01
173,0.0008429651420253019,0.0008429651420253019,0.01
174,0.0008854967425577342,0.0008854967425577342,0.01
175,0.0008213754743337631,0.0008213754743337631,0.01
176,0.0008010853237162034,0.0008010853237162034,0.01
177,0.0007832517963834107,0.0007832517963834107,0.01
178,0.0007971635980842015,0.0007971635980842015,0.01
179,0.0007889374430912236,0.0007889374430912236,0.01
180,0.0007988050269583861,0.0007988050269583861,0.01
181,0.0007899777614511549,0.0007899777614511549,0.01
182,0.0007754969643428922,0.0007754969643428922,0.01
183,0.0007830399903468787,0.0007830399903468787,0.01
184,0.0007848721851284305,0.0007848721851284305,0.01
185,0.0007925161160528659,0.0007925161160528659,0.01
186,0.000791010349833717,0.000791010349833717,0.01
187,0.0007778314873576164,0.0007778314873576164,0.01
188,0.0007756987082151076,0.0007756987082151076,0.01
189,0.0007645380023556451,0.0007645380023556451,0.01
190,0.0007822679782596727,0.0007822679782596727,0.01
191,0.000763878047776719,0.000763878047776719,0.01
192,0.0007566390287441512,0.0007566390287441512,0.01
193,0.0007604722981341183,0.0007604722981341183,0.01
194,0.0007668631655784945,0.0007668631655784945,0.01
195,0.0007693206270535786,0.0007693206270535786,0.01
196,0.000772428543617328,0.000772428543617328,0.01
197,0.000767488971663018,0.000767488971663018,0.01
198,0.0007790986138085525,0.0007790986138085525,0.01
199,0.0007618238994230827,0.0007618238994230827,0.01
200,0.000769302419697245,0.000769302419697245,0.01
