time,values1_1,values1_2,values1_3,values1_4,values1_5,values1_6,values1_7,values1_8
0.0145,110,-200,1.41890354622059,0.176114616456305,3.5929948232946,1.03465000759562,2.79085194919867,-0.000110780794180939
0.0146,110,-200,1.42620942455531,0.155050845647547,3.65030004896104,0.867968465870649,2.3104928699586,-6.74189951910689e-05
0.0147,110,-200,1.43345638477685,0.134158447725411,3.71107714041943,0.708601445116718,1.85846524899508,-2.31315599048022e-05
0.0148,110,-200,1.44064085730181,0.113429902297658,3.77529639498968,0.556329690861806,1.43504105171267,2.19005532945839e-05
0.0149,110,-200,1.44775930308549,0.0928579143975564,3.8429254195191,0.410948453497546,1.04052074295818,6.75078320476127e-05
0.015,110,-200,1.45480821638805,0.0724353995707785,3.9139289781221,0.272266880825498,0.675231774222867,0.000113532329601072
0.0151,110,-200,1.46178412769727,0.0521554695868346,3.98826886524533,0.140107457911004,0.33952713802591,0.000159827795186126
0.0152,110,-200,1.46868360678181,0.0320114187264268,4.06590380434064,0.0143054907547848,0.0337839916261513,0.000206259814613417
0.0153,110,-200,1.47550326584862,0.0119967105996611,4.14678918273411,-0.110813728954145,-0.265976417998587,0.000252705341534826
0.0154,-110,-200,1.48223976297298,-0.00788935675721743,4.17639718054162,-0.242657083703369,-0.594965827137596,0.000299043138619121
0.0155,-110,-200,1.46694581876593,-0.0276398699546397,4.00351268944428,-0.374846216951522,-0.941160499136263,0.000345142311266136
0.0156,-110,-200,1.45182962498034,-0.0472544734819783,3.84287649316284,-0.509436605127731,-1.3054423113108,0.000390864364418416
0.0157,-110,-200,1.43687858858632,-0.0667306984996467,3.69357747796599,-0.646463241487112,-1.68572351727171,0.000436063770908917
0.0158,-110,-200,1.42208105331149,-0.0860660401898987,3.55477977184315,-0.785946236300504,-2.08005065320969,0.000480588596317568
0.0159,-110,-200,1.40742622228158,-0.105257973058703,3.42571467103132,-0.927892208045594,-2.4865927474024,0.000524281281536881
0.016,-110,-200,1.39290408896169,-0.124303964807268,3.30567362323827,-1.07229554194347,-2.90363117730368,0.00056697937621328
0.0161,-110,-200,1.37850537531179,-0.143201488909615,3.19400211288248,-1.21913953313226,-3.32955090572548,0.000608516227137108
0.0162,-110,-200,1.36422147622915,-0.161948036014792,3.09009431872454,-1.36839742898774,-3.76283287290987,0.00064872162510028
0.0163,-110,-200,1.35004440948345,-0.18054112427744,2.99338843483187,-1.52003338280651,-4.20204735840227,0.00068742241327611
0.0164,-110,-200,1.33596677046265,-0.19897830870783,2.90336256277812,-1.67400332916968,-4.64584815719889,0.000724443059786348
0.0165,-110,-200,1.32198169114225,-0.217257189621896,2.81953109701839,-1.83025578973249,-5.09296743992336,0.000759606196793314
0.0166,-110,-200,1.30808280277094,-0.235375420262804,2.74144153705314,-1.98873261687725,-5.54221118779352,0.000792733128180244
0.0167,-110,-200,1.29426420183379,-0.253330713657934,2.66867166973242,-2.14936968157945,-5.99245511066368,0.000823644307652087
0.0168,-110,-200,1.28052041891243,-0.271120848768639,2.60082707320935,-2.31209751092811,-6.44264097110403,0.000852159788894911
0.0169,-110,-200,1.26684639011159,-0.288743675984537,2.53753890091042,-2.4768418799836,-6.89177324981335,0.000878099649268967
0.017,-110,-200,1.25323743076392,-0.306197122009285,2.47846190967575,-2.64352436202084,-7.33891609805929,0.000901284388373341
0.0171,-110,-200,1.23968921116234,-0.323479194180633,2.42327270112162,-2.8120628406738,-7.7831905316308,0.000921535302704777
0.0172,-110,-200,1.22619773410035,-0.340587984263906,2.37166814944012,-2.98237198705123,-8.22377182823632,0.000938674837536242
0.0173,-110,-200,1.21275931402891,-0.357521671754949,2.32336399239828,-3.15436370451751,-8.65988709660231,0.000952526917059041
0.0174,-110,-200,1.19937055766194,-0.374278526725771,2.27809356533385,-3.32794754351716,-9.09081299089995,0.000962917253763283
0.0175,-110,-200,1.18602834588343,-0.390856912243692,2.23560666054895,-3.5030310885546,-9.51587354869564,0.000969673637973109
0.0176,-110,-200,1.17272981682733,-0.407255286392612,2.19566849674385,-3.67952031921561,-9.9344381345052,0.000972626208403466
0.0177,-110,-200,1.15947235001691,-0.423472203923101,2.15805878506902,-3.85731994692588,-10.3459194743302,0.000971607704562678
0.0178,-110,-200,1.14625355146446,-0.439506317556255,2.12257088004915,-4.03633372897919,-10.7497717693516,0.000966453701788652
0.0179,-110,200,1.1330712396439,-0.45535637896468,2.08735795979172,-4.20449348804073,-11.1134089128849,0.000957002873466333
0.018,-110,200,1.11992513183087,-0.431033547663895,1.98675825962811,-3.8748270501692,-10.1433546845665,0.000943189363898876
0.0181,-110,200,1.10688245515263,-0.407049661446627,1.89325535474656,-3.56225544589787,-9.23051383964596,0.000925313001172584
0.0182,-110,200,1.09393591307066,-0.383387144335655,1.80633974689074,-3.2660076510988,-8.37256971127231,0.000903739377352919
0.0183,-110,200,1.08107873288476,-0.360029213078791,1.7255426477797,-2.98536647162754,-7.5673047712766,0.000878812102287667
0.0184,-110,200,1.06830462387737,-0.33695982180382,1.65043197990084,-2.71966439022419,-6.81259646077295,0.000850853691720266
0.0185,-110,200,1.05560773956947,-0.314163610943431,1.58060883580261,-2.46827981789456,-6.10641296237019,0.000820166417384996
0.0186,-110,200,1.04298264361697,-0.291625860014279,1.51570433672291,-2.23063370542987,-5.44680897583731,0.000787033120773225
0.0187,-110,200,1.03042427893686,-0.269332443879887,1.45537683987944,-2.00618647634191,-4.83192154377965,0.000751717992259209
0.0188,-110,200,1.01792793970462,-0.247269792166949,1.39930945089789,-1.79443524731598,-4.25996596183224,0.000714467317254521
0.0189,-110,200,1.00548924590927,-0.225424851539406,1.34720780389334,-1.59491130644307,-3.72923179838488,0.000675510191026784
0.019,-110,200,0.993104120190821,-0.203785050565262,1.29879807683765,-1.40717782308526,-3.23807904139187,0.000635059203774936
0.0191,-110,200,0.980768766718179,-0.182338266938006,1.25382521419303,-1.23082776634247,-2.78493438396827,0.000593311097502645
0.0192,-110,200,0.968479651894469,-0.161072796838134,1.21205133249739,-1.06548201179343,-2.36828765590195,0.000550447396176197
0.0193,-110,200,0.956233486701638,-0.139977326241235,1.17325428775206,-0.910787618541086,-1.98668840465634,0.00050663501059492
0.0194,-110,200,0.944027210518003,-0.11904090399751,1.13722638617431,-0.766416260650725,-1.63874262669055,0.000462026819342553
0.0195,-110,200,0.931857976261316,-0.0982529165240142,1.10377322220591,-0.632062798872492,-1.32310964781845,0.000416762227127882
