t,Ud,Uq,Psi_d,Psi_q,Id,Iq
0.1321,-109.62,199.8,-0.5625753394748808,0.23180433916374618,-0.5993780962817532,0.5893932721694423
0.1322,-109.62,199.8,-0.5729139005548687,0.2512003126685038,-0.6245321088298892,0.7412091708968673
0.1323,-109.62,199.8,-0.5832362452222101,0.2704459352835219,-0.6309230706873398,0.8818633191573494
0.13240000000000002,-109.62,199.8,-0.5935477288873351,0.2895310051353154,-0.6456594718542101,1.0535244108380521
0.1325,-109.62,199.8,-0.6038414575745634,0.3084262180794269,-0.6654609389283627,1.251182441957008
0.1326,-109.62,199.8,-0.6141171474377803,0.32711710936216487,-0.6807494917093405,1.4509810937091503
0.1327,-109.62,199.8,-0.6243768757176736,0.3455979862415107,-0.6965102066297454,1.6597129304341594
0.1328,-109.62,199.8,-0.6346251191336052,0.36386705154475374,-0.7030904217057014,1.8630075321474264
0.13290000000000002,-109.62,199.8,-0.6448602614209209,0.38192067929112744,-0.7219951752157193,2.0787928074453497
0.133,-109.62,199.8,-0.6550742778156774,0.39975093502629755,-0.7441855612167149,2.2975219053293765
0.1331,-109.62,199.8,-0.6652693843227084,0.41736012822110197,-0.7587796316374029,2.5088146828068103
0.1332,-109.62,199.8,-0.6754451254974102,0.4347524609771822,-0.781855971189649,2.7193696430673935
0.1333,-109.62,199.8,-0.6856037109603178,0.4519590855769985,-0.7921517775772071,2.870063447497544
0.13340000000000002,-109.62,199.8,-0.6957589408628739,0.469000023831351,-0.7883833744883596,3.0416709831328843
0.1335,-109.62,199.8,-0.705907418236308,0.48582055417341335,-0.8052871338963967,3.2988119076875644
0.1336,-109.62,199.8,-0.7160303645604752,0.5023778292481573,-0.8380476444614227,3.5537682546278164
0.1337,-109.62,199.8,-0.7261225739510282,0.5186779991809619,-0.8650781496596638,3.7989456486595357
0.1338,-109.62,-199.8,-0.7361901551549104,0.5147674575992587,-0.8859556210972782,4.002559795573527
0.13390000000000002,-109.62,-199.8,-0.7462326685098056,0.4906544686580248,-0.913841379353987,4.231661343305657
0.134,-109.62,-199.8,-0.7562446825813384,0.4663217560418539,-0.9452843477419263,4.42997724314942
