epoch,train_loss,mse_loss,lr,w_mse,w_pde1,w_pde2,w_sym,loss_mse,loss_pde1,loss_pde2,loss_sym
111,0.0017194711175155437,0.001712571883884569,0.01,1.0,0.25,0.25,0.25,0.001712571883884569,3.1574185868521456e-06,1.2496060965834962e-05,2.7596934523899107e-05
112,0.0017304830833078692,0.0017232744954526424,0.01,1.0,0.25,0.25,0.25,0.0017232744954526424,3.1040481189847924e-06,1.260561863697755e-05,2.8834351420906994e-05
113,0.0017361603188570977,0.0017287048899258177,0.01,1.0,0.25,0.25,0.25,0.0017287048899258177,3.0196721885052585e-06,1.2145387396837274e-05,2.9821715725120156e-05
114,0.0017194182958822541,0.0017116146550203363,0.01,1.0,0.25,0.25,0.25,0.0017116146550203363,2.9578193789348005e-06,1.2632497479595865e-05,3.1214563447671634e-05
115,0.0017261706335072327,0.0017177997545028726,0.01,1.0,0.25,0.25,0.25,0.0017177997545028726,2.8923130533560957e-06,1.2686711367374906e-05,3.348351601744071e-05
116,0.0017108925617624966,0.001702585956081748,0.01,1.0,0.25,0.25,0.25,0.001702585956081748,2.818642193839575e-06,1.2445319407561329e-05,3.322642272299466e-05
117,0.0017252475547744931,0.001716953042584161,0.01,1.0,0.25,0.25,0.25,0.001716953042584161,2.6968257316184463e-06,1.2371038064884487e-05,3.317804876132868e-05
118,0.0016958450396790188,0.0016883087499688068,0.01,1.0,0.25,0.25,0.25,0.0016883087499688068,2.8658454842419206e-06,1.1723332014904979e-05,3.0145158840847824e-05
119,0.001716551498005477,0.0017076361536358794,0.01,1.0,0.25,0.25,0.25,0.0017076361536358794,2.768250245329303e-06,1.2437877376214602e-05,3.5661377478390935e-05
120,0.0017189224858157105,0.0017105602116013567,0.01,1.0,0.25,0.25,0.25,0.0017105602116013567,2.9345221340311887e-06,1.1776582020199082e-05,3.344909685741489e-05
121,0.0017102092429619612,0.0017014023149386048,0.01,1.0,0.25,0.25,0.25,0.0017014023149386048,2.715099844863289e-06,1.2183888429717626e-05,3.522771209342561e-05
122,0.0016956989545784988,0.0016881151668106517,0.01,1.0,0.25,0.25,0.25,0.0016881151668106517,2.6764971759500137e-06,1.1892279144376516e-05,3.0335151071388584e-05
123,0.0017296405565502937,0.001722437407200535,0.01,1.0,0.25,0.25,0.25,0.001722437407200535,2.9042816701500367e-06,1.1962966709688772e-05,2.8812597399034227e-05
124,0.0017105208855961488,0.0017023566567028563,0.01,1.0,0.25,0.25,0.25,0.0017023566567028563,2.703852518000834e-06,1.2061771243073356e-05,3.265691557317041e-05
125,0.0017293764791247667,0.0017209955646346013,0.01,1.0,0.25,0.25,0.25,0.0017209955646346013,2.6839853414154884e-06,1.1928947727331736e-05,3.3523657960662e-05
126,0.0017470405031417614,0.0017383086184660594,0.01,1.0,0.25,0.25,0.25,0.0017383086184660594,2.694724177369305e-06,1.188001594224867e-05,3.4927538702807696e-05
127,0.0017145630720127277,0.0017069443206613262,0.01,1.0,0.25,0.25,0.25,0.0017069443206613262,2.725608654448782e-06,1.1631483539531473e-05,3.047500540560577e-05
128,0.00170786424526644,0.0017000613113244375,0.01,1.0,0.25,0.25,0.25,0.0017000613113244375,2.6892949790635613e-06,1.1552033780996377e-05,3.121173576801084e-05
129,0.0017205232768295294,0.0017130578557650248,0.01,1.0,0.25,0.25,0.25,0.0017130578557650248,2.5761841015992104e-06,1.12176073040852e-05,2.986168425801831e-05
130,0.0017124750437687909,0.0017054965253919363,0.01,1.0,0.25,0.25,0.25,0.0017054965253919363,2.7097179933358956e-06,1.1676422582240776e-05,2.7914073507417923e-05
131,0.0017203175117477562,0.0017142877137909334,0.01,1.0,0.25,0.25,0.25,0.0017142877137909334,2.838936537348976e-06,1.1310295606866324e-05,2.4119191827291313e-05
132,0.0017218241085780997,0.0017160171720509729,0.01,1.0,0.25,0.25,0.25,0.0017160171720509729,2.981044599437155e-06,1.1626270679698792e-05,2.3227746108508048e-05
133,0.0017186763429890561,0.0017120110724742213,0.01,1.0,0.25,0.25,0.25,0.0017120110724742213,2.7828393588909725e-06,1.1887226476877306e-05,2.6661082059339e-05
134,0.001727699120813971,0.001720410049892962,0.01,1.0,0.25,0.25,0.25,0.001720410049892962,2.7494447067510917e-06,1.1395913982899705e-05,2.9156283684036074e-05
135,0.0017231905524567992,0.001716666016727686,0.01,1.0,0.25,0.25,0.25,0.001716666016727686,2.669587130791721e-06,1.1374527336253474e-05,2.6098142916453072e-05
136,0.0017376157079221836,0.001731594535522163,0.01,1.0,0.25,0.25,0.25,0.001731594535522163,2.8042098695853687e-06,1.1504050780786201e-05,2.4084689600082734e-05
137,0.0017380012642206565,0.0017322044741983214,0.01,1.0,0.25,0.25,0.25,0.0017322044741983214,2.8964298053324455e-06,1.1291880582575686e-05,2.318716008934037e-05
138,0.0017267149247951845,0.0017200413160026074,0.01,1.0,0.25,0.25,0.25,0.0017200413160026074,2.6818277471344723e-06,1.1146684422177107e-05,2.6694435170308377e-05
139,0.00170366709968827,0.0016970306867733597,0.005,1.0,0.25,0.25,0.25,0.0016970306867733597,2.6352549639341306e-06,1.1232294188327311e-05,2.6545651659641106e-05
140,0.0017197540346690706,0.001712857186794281,0.005,1.0,0.25,0.25,0.25,0.001712857186794281,2.59023075462513e-06,1.0959232652870317e-05,2.7587391499158306e-05
141,0.0017048896793312451,0.0016980691968152921,0.005,1.0,0.25,0.25,0.25,0.0016980691968152921,2.3997964869219382e-06,1.1316853669995907e-05,2.728193006381237e-05
142,0.0017052738997942166,0.0016982966956372062,0.005,1.0,0.25,0.25,0.25,0.0016982966956372062,2.5358172858129063e-06,1.0959265637211502e-05,2.7908816628041676e-05
143,0.001712897767265531,0.001705905057800313,0.005,1.0,0.25,0.25,0.25,0.001705905057800313,2.4463106607678734e-06,1.1335512499499601e-05,2.7970837860872657e-05
144,0.0017019636174154585,0.0016952831608553728,0.005,1.0,0.25,0.25,0.25,0.0016952831608553728,2.473237282174523e-06,1.1171704924587781e-05,2.6721826240342732e-05
145,0.0016860935120045421,0.0016793124688168368,0.005,1.0,0.25,0.25,0.25,0.0016793124688168368,2.524932195531922e-06,1.0999989778307887e-05,2.7124172750821646e-05
146,0.0016674407873930855,0.001660531930004557,0.005,1.0,0.25,0.25,0.25,0.001660531930004557,2.381582582226353e-06,1.11120227908638e-05,2.7635429554114428e-05
147,0.0017052315927685413,0.0016984135999033847,0.005,1.0,0.25,0.25,0.25,0.0016984135999033847,2.4748468907394755e-06,1.11439717632796e-05,2.727197146062584e-05
148,0.001710053369151865,0.0017026985296979547,0.005,1.0,0.25,0.25,0.25,0.0017026985296979547,2.4287160385938477e-06,1.1058664858865086e-05,2.941935781564098e-05
149,0.001709599910312439,0.0017028053213531773,0.005,1.0,0.25,0.25,0.25,0.0017028053213531773,2.507998389470837e-06,1.1026162125441867e-05,2.717835583704679e-05
150,0.0016949373759113466,0.0016880510607734322,0.005,1.0,0.25,0.25,0.25,0.0016880510607734322,2.423996981330371e-06,1.1192145575478207e-05,2.7545260551657216e-05
151,0.0016923825676106693,0.0016856730139503877,0.005,1.0,0.25,0.25,0.25,0.0016856730139503877,2.4278298800102976e-06,1.1339842239976861e-05,2.6838214641126493e-05
152,0.0017142632726063311,0.0017075638674820463,0.005,1.0,0.25,0.25,0.25,0.0017075638674820463,2.560679619515819e-06,1.0705838030844462e-05,2.679762049713948e-05
